bedrooms,bathrooms,city,country,currency,daysOnZillow,homeStatus,homeStatusForHDP,homeType,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,longitude,listing_sub_type,livingArea,lotAreaUnit,lotAreaValue,price,priceForHDP,rentZestimate
3.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.736343,-108.56896,True,2932.0,sqft,4856.9400000000005,469900.0,469900.0,2500.0
,,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,False,True,False,False,False,False,False,45.822586,-108.493996,True,0.0,sqft,9609.336,675000.0,675000.0,3273.0
2.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.76024,-108.72374,True,2369.0,acres,1.46,599900.0,599900.0,3033.0
3.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.796604,-108.56051,True,2395.0,acres,0.2631,525000.0,525000.0,2852.0
2.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.80953,-108.393486,True,1888.0,acres,0.27,339000.0,339000.0,1921.0
4.0,6.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.7655,-108.59368,True,3806.0,sqft,10018.800000000001,679900.0,679900.0,3435.0
3.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.818592,-108.48843,True,3360.0,sqft,10201.752,375000.0,375000.0,2570.0
3.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.803066,-108.401375,True,2562.0,acres,0.5445,480000.0,480000.0,2740.0
4.0,5.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.746918,-108.69681,True,3276.0,acres,0.52,820000.0,820000.0,3180.0
2.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.87251,-108.48442,,1360.0,sqft,7313.724,359900.0,359900.0,
3.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.72143,-108.65177,,2245.0,acres,0.4665,645000.0,645000.0,3234.0
3.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.72099,-108.6526,,3841.0,acres,0.477,745000.0,745000.0,3725.0
2.0,5.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.79765,-108.539856,True,1824.0,sqft,7000.092000000001,369900.0,369900.0,1914.0
2.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.779377,-108.52686,True,1814.0,sqft,7000.092000000001,329900.0,329900.0,1764.0
3.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.807983,-108.40825,True,2562.0,acres,0.479,479900.0,479900.0,2387.0
2.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.768345,-108.62199,True,1965.0,sqft,6969.6,405000.0,405000.0,2262.0
3.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.79044,-108.55544,True,2676.0,sqft,10454.4,375000.0,375000.0,2468.0
2.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.83771,-108.51646,True,1349.0,acres,0.2709,335000.0,335000.0,1898.0
2.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.760216,-108.71972,True,1763.0,acres,1.07,379000.0,379000.0,2075.0
3.0,5.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.799835,-108.577705,True,2880.0,sqft,9748.728,249000.0,249000.0,2675.0
3.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.84209,-108.48792,True,2044.0,sqft,9583.2,389900.0,389900.0,2400.0
2.0,2.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.791874,-108.50868,True,1904.0,sqft,7000.092000000001,380000.0,380000.0,995.0
2.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.796658,-108.65138,True,1649.0,sqft,6834.564,455000.0,455000.0,2440.0
4.0,5.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.80585,-108.65566,True,5000.0,acres,0.355,750000.0,750000.0,3929.0
3.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.787563,-108.614456,True,2442.0,sqft,7431.336,420000.0,420000.0,2457.0
2.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.703056,-108.51272,True,2040.0,acres,3.03,370000.0,370000.0,1999.0
2.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.755817,-108.60914,True,1644.0,sqft,6969.6,323000.0,323000.0,2114.0
2.0,2.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.795742,-108.63381,True,1550.0,sqft,2744.28,521000.0,521000.0,2411.0
3.0,5.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.791107,-108.59749,True,3312.0,sqft,9600.624,450000.0,450000.0,2737.0
2.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.779392,-108.52081,True,2216.0,sqft,7000.092000000001,389900.0,389900.0,1749.0
4.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.7999,-108.6212,True,3352.0,acres,0.2605,715000.0,715000.0,3795.0
2.0,3.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.771225,-108.596596,True,1512.0,acres,0.25,329900.0,329900.0,2134.0
2.0,2.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.80132,-108.568054,True,3808.0,acres,0.4649,380000.0,380000.0,2703.0
,,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,MULTI_FAMILY,False,True,False,False,False,False,False,45.83189,-108.47413,True,2918.0,acres,0.4408,539000.0,539000.0,1195.0
3.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.809032,-108.672264,True,3884.0,acres,0.362,749000.0,749000.0,3883.0
4.0,6.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.788746,-108.518974,True,3413.0,sqft,7000.092000000001,299000.0,299000.0,2566.0
3.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.79901,-108.56917,True,2256.0,acres,0.4205,399900.0,399900.0,2327.0
2.0,4.0,Billings,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,False,True,False,False,False,False,False,45.83509,-108.45178,True,1728.0,acres,0.4988,350000.0,350000.0,2011.0
